Date,m_t,IBM,CSCO,AAPL,MSFT,ORCL,INTC,TXN,QCOM,AMAT,ADBE
2009-01-06,1057.9174,1.3494195,1.424016,-0.6568512,0.48879275,0.5615372,1.0907586,1.2549946,0.5833693,2.411042,1.44726
2009-01-07,1096.3916,-0.7212982,-0.9724784,-0.8525458,-2.6774135,-1.3641627,-2.1166058,-1.9178581,-1.4347229,-2.6765478,0.050853804
2009-01-08,1690.5543,-0.19457014,0.3742249,0.44046474,0.8729001,-0.040408604,0.2729085,-0.61190134,-0.22642499,0.26831567,0.09610131
2009-01-09,1806.7947,-0.94664776,-1.30472,-0.6114756,-0.76826704,-0.40642068,-0.64570844,-0.63708794,-0.22506163,-0.80189985,-0.23084341
2009-01-12,1891.5721,0.46609232,-0.4525039,-0.5544061,-0.04546854,-0.48036966,-0.5634648,-0.4596406,-0.116670795,-0.7911631,-0.19843927
2009-01-13,2198.7903,-0.055167988,0.08188249,-0.27628848,0.4084276,0.13325304,-0.11744173,0.15401036,0.15626048,0.3059065,-1.4613892
2009-01-14,2233.1714,-0.65256476,-0.97462344,-0.6563219,-0.77865773,-1.1116834,-0.8552657,-1.2715828,-0.89758456,-0.8371193,-0.9051204
2009-01-15,2347.5635,0.368662,0.10752934,-0.5489628,0.1890769,0.2425914,0.38432714,0.6868679,0.6110099,-0.07853357,-0.23281474
2009-01-16,2562.7122,0.30471674,0.021720331,-0.3083521,0.52031803,0.49385384,0.68004924,0.6782358,0.64728874,0.72705716,0.25276574
2009-01-20,2351.5598,-0.87784386,-1.1241993,-1.1876609,-1.3168212,-1.1271008,-1.2540451,-0.99436104,-1.148858,-1.3563749,-1.6266866
2009-01-21,2048.331,3.438334,1.0914065,1.3170156,1.1051933,1.2337804,0.765825,0.24148779,1.1512052,0.009660563,1.7031403
2009-01-22,1471.6963,-0.5570638,-0.66908276,1.8518317,-4.0859303,-0.4316958,-0.95746356,-0.4723058,0.14476767,-0.800203,-2.0897217
2009-01-23,1442.8813,-0.21130812,1.0894679,-0.044957135,0.1783313,0.25055945,0.76394737,1.3637478,0.41235477,1.5266762,0.55186886
2009-01-26,1151.0214,1.1327045,0.9175303,0.4655769,1.0066273,0.3607655,0.70590866,-0.5358537,-0.0149284275,0.3138403,0.38139743
2009-01-27,1191.1824,0.08096058,0.9300539,0.3771647,0.05646573,0.6210472,1.1034495,1.203345,-0.8572316,0.68185025,0.2999965
2009-01-28,1566.5093,1.4131926,0.28459492,0.9960546,0.65863025,0.9676654,0.47814423,0.7041366,0.950508,0.69033974,0.9947326
2009-01-29,1515.9393,-0.9427464,-1.8022857,-0.40753862,-0.79638916,-0.42066902,-1.3199968,-1.2977082,-1.4166296,-2.0361276,-1.0158865
2009-01-30,1470.0411,-0.3271866,-1.9798987,-0.9644842,-0.9250114,-1.3521014,-1.019846,-0.027577901,-0.518509,-0.67473495,-0.9449991
