,growth,inflation,combined
2000-11-15,0.45277213892877133,9.676455839012302,0.6312914484791138
2000-11-16,0.6625902490091347,10.970143309365817,0.8436181177777708
2000-11-17,0.41235636217733296,9.105513827864035,0.5679249617576158
2000-11-20,0.5380542018305486,10.573758099799218,0.743532951885614
2000-11-21,0.3279546569590839,10.264078782449147,0.5997554255845134
2000-11-22,0.23845278534523878,9.978406393216105,0.5277702985493397
2000-11-27,0.2878968497427863,10.575932291392755,0.5982422095166294
2000-11-28,0.16391036191920322,10.454307585817253,0.5176629409040556
2000-11-29,,7.590981812888626,0.31626083776522934
2000-11-30,-0.778833619168282,7.165668927900446,-0.2600963849389074
2000-12-01,-1.0308463117717448,6.218459276421538,-0.4727608033951951
2000-12-04,-1.75140857403313,3.6702467767603126,-1.0696391500695723
2000-12-05,-1.8988964916706368,,-2.0794736427454628
2000-12-06,-2.501315853845801,,-2.7799720812048263
2000-12-07,-2.1480212939089176,,-2.3691581149033665
2000-12-12,-2.1564983876136776,,-2.379015352694358
2000-12-14,-1.740593873963169,,-1.8953979913458863
2000-12-15,-1.892007207503474,,-2.0714627236014045
2000-12-18,,3.8004535096555783,-0.21312034714161449
2000-12-19,-1.277268628178123,,-1.356639393017743
2000-12-20,-1.5010436576760444,,-1.6168469304439934
2000-12-21,-2.7757224984119917,5.737687336018153,-1.520811406101556
2000-12-26,-2.362697073837872,,-2.6187849663251055
2000-12-27,,7.142212086006598,0.25358613103252975
2000-12-28,-1.844391355746705,6.872610159600248,-0.9000803947479592
2000-12-29,-0.8774973046574237,4.57766772919495,-0.4981786367506996
2001-01-02,-0.46847294668882,7.2387463193381025,-0.07454839369625499
2001-01-03,-0.3983301349861211,,-0.33460212024529373
2001-01-04,-0.26434064414933733,,-0.17879798280483594
2001-01-05,-1.0897327326556643,,-1.1385710336372838
2001-01-08,-1.286324695639501,,-1.3671698664945124
2001-01-09,-1.551528371224559,,-1.6755509914806637
2001-01-10,-1.14625782270255,,-1.2042988966472798
2001-01-11,-0.22334272712091197,,-0.13112525071534517
2001-01-12,-0.19341396017236873,,-0.09632382196184376
2001-01-16,0.053507844111285285,6.49389626679546,0.17692100632627372
2001-01-17,0.20690105580708631,6.260081721716813,0.24977733578630523
2001-01-18,-0.09575115221586525,3.087910719980406,-0.14769699340445566
2001-01-19,0.09257837599270868,5.187951578661012,0.10844335344804165
2001-01-22,0.7036135140374504,8.608440231959353,0.7025527408243135
2001-01-23,0.6840354966347366,8.205985521711579,0.6630667967627103
2001-01-24,-0.44529753237488523,3.075620379358215,-0.35178299664688084
2001-01-25,-0.5398443187463434,2.1702373722653245,-0.4699753245493604
2001-01-26,-0.3854541014676209,2.9930964931456048,-0.3227523668872616
2001-01-29,-0.1823434743801636,3.4299422454046926,-0.1741582624857796
2001-01-30,-0.6845901076341016,0.7064113786907797,-0.656349348589198
2001-01-31,,3.4111545801532714,-0.2674894250369356
2001-02-01,-0.6553644157721813,2.0214596103787486,-0.5475282805856564
2001-02-02,-1.4697749962417734,5.651081132423655,-0.7675755530179693
2001-02-05,-0.6393808555397503,8.682071180031055,-0.07312837623870519
2001-02-06,-0.8449964306343611,5.695716827325055,-0.40120970929949523
2001-02-07,-0.7821685682940595,5.0838388383438184,-0.40740843605168187
2001-02-08,-0.39001018157957323,7.465968702199758,-0.013062983985535431
